sigla,nome_munic,geocodig_m,imoveis_car,area_car
BA,Macaúbas,2919801,5736,62907.1492
BA,Macururé,2919900,299,11283.5318
BA,Maetinga,2919959,1004,14572.5361
BA,Maiquinique,2920007,203,17069.4251
BA,Mairi,2920106,1583,23823.5357
BA,Malhada,2920205,548,101995.7726
BA,Malhada De Pedras,2920304,2202,27898.3099
BA,Manoel Vitorino,2920403,1497,81105.2931
BA,Mansidão,2920452,2397,103971.7863
BA,Maracás,2920502,1189,59677.8103
BA,Maragogipe,2920601,234,8042.7815
BA,Maraú,2920700,252,15015.9076
BA,Marcionílio Souza,2920809,256,44147.655
BA,Mascote,2920908,186,28465.3261
BA,Mata De São João,2921005,306,30856.0364
BA,Matina,2921054,1727,40919.836
BA,Medeiros Neto,2921104,1465,67692.4624
BA,Miguel Calmon,2921203,1331,33389.3216
BA,Milagres,2921302,331,14086.6376
BA,Mirangaba,2921401,243,16048.5608
BA,Mirante,2921450,1504,39325.4348
BA,Monte Santo,2921500,8069,86391.9967
BA,Morpará,2921609,934,65702.6543
BA,Morro Do Chapéu,2921708,2207,199764.8303
BA,Mortugaba,2921807,1295,16841.1517
BA,Mucugê,2921906,680,104150.3644
BA,Mucuri,2922003,800,116786.6446
BA,Mulungu Do Morro,2922052,1505,19177.5852
BA,Mundo Novo,2922102,1221,49863.5281
BA,Muniz Ferreira,2922201,590,5130.047
BA,Muquém Do São Francisco,2922250,1165,122731.7002
BA,Muritiba,2922300,877,1686.2671
BA,Mutuípe,2922409,2279,9753.0138
BA,Nazaré,2922508,161,7473.2042
BA,Nilo Peçanha,2922607,171,5815.4923
BA,Nordestina,2922656,1347,12923.9774
BA,Nova Canaã,2922706,1622,32857.1868
BA,Nova Fátima,2922730,861,10408.5497
BA,Nova Ibiá,2922755,327,3684.9303
BA,Nova Itarana,2922805,432,14237.8745
BA,Nova Redenção,2922854,587,19877.5106
BA,Nova Soure,2922904,2697,26221.7886
BA,Nova Viçosa,2923001,640,101917.5488
BA,Novo Horizonte,2923035,918,13833.5661
BA,Novo Triunfo,2923050,675,4059.9246
BA,Olindina,2923100,1635,15521.4503
BA,Oliveira Dos Brejinhos,2923209,3333,67903.3262
BA,Ouriçangas,2923308,330,5303.4219
BA,Ourolândia,2923357,491,36002.9616
BA,Palmas De Monte Alto,2923407,2826,142179.7156
BA,Palmeiras,2923506,460,14769.1908
BA,Paramirim,2923605,2862,35314.699
BA,Paratinga,2923704,3052,109627.1572
BA,Paripiranga,2923803,3799,19831.5326
BA,Pau Brasil,2923902,72,7540.9146
BA,Paulo Afonso,2924009,3679,31714.7045
BA,Pé De Serra,2924058,2343,25266.4676
BA,Pedrão,2924108,783,5262.7534
BA,Pedro Alexandre,2924207,1728,38183.7835
BA,Piatã,2924306,1680,28510.2046
BA,Pilão Arcado,2924405,2528,297747.4713
BA,Pindaí,2924504,1595,24060.4267
BA,Pindobaçu,2924603,465,12414.7503
BA,Pintadas,2924652,1708,24474.3495
BA,Piraí Do Norte,2924678,515,5487.3376
BA,Piripá,2924702,946,13507.4862
BA,Piritiba,2924801,1397,38640.8746
BA,Planaltino,2924900,919,37883.1045
BA,Planalto,2925006,1516,27628.2219
BA,Poções,2925105,1476,32676.4453
BA,Pojuca,2925204,99,8849.3229
BA,Ponto Novo,2925253,489,11010.1971
BA,Porto Seguro,2925303,500,93101.2994
BA,Potiraguá,2925402,107,25915.4509
BA,Prado,2925501,501,101423.6895
BA,Presidente Dutra,2925600,1268,6548.2412
BA,Presidente Jânio Quadros,2925709,2685,41571.7349
BA,Presidente Tancredo Neves,2925758,2307,13604.9557
BA,Queimadas,2925808,2026,45579.365
BA,Quijingue,2925907,2393,29700.2236
BA,Quixabeira,2925931,530,4173.601
BA,Rafael Jambeiro,2925956,2186,28942.7547
BA,Remanso,2926004,3200,136160.0916
BA,Retirolândia,2926103,1428,3940.6347
BA,Riachão Das Neves,2926202,1964,409762.9035
